Name,Attack K,Attack E,Attack TA,Attack Atk%,Attack K/S,Attack ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve ?,Set Ast,Set TA,Set SE,Set 3,Set 2,Set 1,Set 0,Set Rtg.,Dig DS,Dig DE,Block BS,Block BA,Block BE,Block B/S,Points Pts +/-,Sets Sets Played
"#4 Olivia H.",3,2,8,0.125,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
"#6 Jessica C.",0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"#14 Ava S.",2,1,7,0.143,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
"#22 Sierra P.",5,0,8,0.625,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2
"#18 Caylee S.",0,1,1,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1
"Toledo Women's Volleyball",10,4,25,0.24,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2
"#1 Grace F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#3 Janelle G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#7 Avery A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#16 Sophie C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#12 Gabbi L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#10 Kayla O.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#21 Meg J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#15 Maddy B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#5 Sydney C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
