Name,Attack K,Attack E,Attack TA,Attack Atk%,Attack K/S,Attack ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve ?,Set Ast,Set TA,Set SE,Set 3,Set 2,Set 1,Set 0,Set Rtg.,Dig DS,Dig DE,Block BS,Block BA,Block BE,Block B/S,Points Pts +/-,Sets Sets Played
"#4 Olivia H.",2,2,7,0,0.667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
"#6 Jessica C.",2,1,7,0.143,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
"#14 Ava S.",6,2,11,0.364,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3
"#10 Kayla O.",1,1,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"#22 Sierra P.",6,2,11,0.364,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
"#16 Sophie C.",0,1,2,-0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1
"#18 Caylee S.",0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"Toledo Women's Volleyball",17,9,43,0.186,4.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4
"#1 Grace F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#3 Janelle G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#7 Avery A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#12 Gabbi L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#21 Meg J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#15 Maddy B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#5 Sydney C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
