Name,Attack K,Attack E,Attack TA,Attack Atk%,Attack K/S,Attack ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve ?,Set Ast,Set TA,Set SE,Set 3,Set 2,Set 1,Set 0,Set Rtg.,Dig DS,Dig DE,Block BS,Block BA,Block BE,Block B/S,Points Pts +/-,Sets Sets Played
"#4 Olivia H.",11,6,28,0.179,2.2,0,1,1,6,1,9,0,1.222,,,,,,,,,,,,,,,,3,0,0,1,0,0,4.5,5
"#6 Jessica C.",8,4,27,0.148,1.6,0,5,17,8,3,33,0,1.727,1,3,22,0.864,-0.091,2.182,0,0,4,0,,,,3,"",12,0,0,1,0,0,-0.5,5
"#14 Ava S.",9,5,25,0.16,1.8,0,1,,,,1,0,3,,,,,,,,0,1,0,,,,,"",3,0,2,5,0,0.4,8.5,5
"#10 Kayla O.",6,2,14,0.286,1.2,0,,,,,,,,,,,,,,,,,,,,,,,1,0,3,4,0,0.6,9,5
"#22 Sierra P.",12,2,22,0.455,2.4,0,,,,,,,,2,2,8,0.75,0,1.25,0,0,1,0,,,,,"",4,0,1,7,0,0.2,14.5,5
"#16 Sophie C.",5,4,24,0.042,1,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,3,0,0,2.5,5
"#18 Caylee S.",0,1,4,-0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,-1,1
"#3 Janelle G.",1,0,2,0.5,0.25,0,,,,,,,,1,1,14,0.929,0,2.143,0,17,51,0,11,11,6,6,1.794,7,0,,,,,1,4
"#12 Gabbi L.",,,,,,,,,,,,,,0,2,5,0.6,-0.4,2.6,0,10,27,0,2,7,4,3,1.5,9,1,,,,,-2,2
"#15 Maddy B.",1,0,1,1,0.25,0,,,,,,,,0,0,16,1,0,2.5,0,17,44,0,7,6,4,11,1.321,7,0,,,,,1,4
"#5 Sydney C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.5,1
"#7 Avery A.",,,,,,,7,9,3,,19,0,2.211,1,2,8,0.75,-0.125,2,0,1,1,0,,1,,,2,3,0,,,,,-1,4
"#21 Meg J.",,,,,,,2,2,2,1,7,0,1.714,2,3,13,0.769,-0.077,2,0,0,3,0,,,,,"",4,0,,,,,-2,5
"#1 Grace F.",,,,,,,7,6,8,1,22,0,1.864,5,6,19,0.684,-0.053,2,0,5,22,0,1,1,2,13,0.412,15,0,,,,,-2,5
"Opponent",52,28,149,0.161,10.4,0,33,24,17,6,80,0,2.05,10,11,106,0.896,-0.009,1.877,0,47,149,0,52,7,,19,2.179,71,0,,,,,17,5
"Toledo Women's Volleyball",53,24,147,0.197,10.6,0,23,35,27,6,91,0,1.824,12,19,105,0.819,-0.067,2.105,0,50,154,0,21,26,16,36,1.323,73,1,6,22,0,1.2,33,5
