Name,Attack K,Attack E,Attack TA,Attack Atk%,Attack K/S,Attack ?,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Set Ast,Set TA,Set SE,Set 3,Set 2,Set 1,Set 0,Set Rtg.,Dig DS,Dig DE,Block BS,Block BA,Block BE,Block B/S,Points Pts +/-,Sets Sets Played
"#4 Olivia H.",2,1,3,0.333,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
"#6 Jessica C.",1,0,2,0.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"#14 Ava S.",0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"#10 Kayla O.",2,0,4,0.5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
"#22 Sierra P.",3,0,4,0.75,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1
"#16 Sophie C.",3,1,7,0.286,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
"#18 Caylee S.",1,0,4,0.25,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
"#15 Maddy B.",0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"Toledo Women's Volleyball",12,2,28,0.357,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2
"#3 Janelle G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#1 Grace F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#21 Meg J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#11 Brooke N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#5 Sydney C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#7 Avery A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
