Name,Attack K,Attack E,Attack TA,Attack Atk%,Attack K/S,Attack ?,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Set Ast,Set TA,Set SE,Set 3,Set 2,Set 1,Set 0,Set Rtg.,Dig DS,Dig DE,Block BS,Block BA,Block BE,Block B/S,Points Pts +/-,Sets Sets Played
"#4 Olivia H.",7,2,12,0.417,3.5,0,1,1,2,0.5,0,1.5,0,2,,3,,5,0,1.8,,,,,,,,,,,,,,,5,2
"#6 Jessica C.",4,3,10,0.1,2,0,2,1,8,0.875,0.125,1.5,0,4,1,3,,8,0,2.125,0,1,0,,1,,,2,5,2,,,,,2,2
"#11 Brooke N.",2,1,3,0.333,2,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,2,1
"#14 Ava S.",2,1,8,0.125,1,0,,,,,,,,1,,1,,2,0,2,,,,,,,,,2,0,,,,,1,2
"#10 Kayla O.",2,0,4,0.5,2,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,2,1
"#22 Sierra P.",4,1,7,0.429,4,0,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,4,1
"#16 Sophie C.",3,3,11,0,1.5,0,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0.5,1,2
"#18 Caylee S.",1,0,5,0.2,0.5,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,1,2
"#3 Janelle G.",,,,,,,0,1,6,0.833,-0.167,2.2,0,,,,,,,,12,28,0,5,5,3,4,1.647,3,1,,,,,-1,2
"#15 Maddy B.",0,0,1,0,0,0,1,2,9,0.778,-0.111,1.75,0,,,,,,,,12,30,0,4,4,1,5,1.5,2,2,,,,,-1,2
"#5 Sydney C.",,,,,,,0,0,6,1,0,1.8,0,,,,,,,,0,1,0,,,,,"",1,0,,,,,0,2
"#7 Avery A.",,,,,,,1,0,4,1,0.25,1.25,0,1,1,,,2,0,2.5,0,2,0,,,,2,"",2,0,,,,,1,1
"#21 Meg J.",,,,,,,1,2,9,0.778,-0.111,1.778,0,1,4,4,,9,0,1.667,1,3,0,,1,1,1,1,10,1,,,,,-1,2
"#1 Grace F.",,,,,,,0,1,5,0.8,-0.2,1.6,0,7,2,,1,10,0,2.5,0,1,0,,,,1,"",1,0,,,,,-2,1
"Opponent",24,9,62,0.242,12,0,1,10,46,0.783,-0.196,2.283,0,3,16,13,5,40,3,1.459,19,59,0,5,6,1,12,1.167,29,4,,,,,1,2
"Toledo Women's Volleyball",25,11,61,0.23,12.5,0,6,8,49,0.837,-0.041,1.696,0,16,8,11,1,36,0,2.083,25,66,0,9,11,5,13,1.421,30,6,3,0,0,1.5,14,2
