Name,Attack K,Attack E,Attack TA,Attack Atk%,Attack K/S,Attack ?,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Set Ast,Set TA,Set SE,Set 3,Set 2,Set 1,Set 0,Set Rtg.,Dig DS,Dig DE,Block BS,Block BA,Block BE,Block B/S,Points Pts +/-,Sets Sets Played
"#4 Olivia H.",2,0,2,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
"#6 Jessica C.",1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"#14 Ava S.",2,0,3,0.667,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
"#10 Kayla O.",1,0,5,0.2,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
"#22 Sierra P.",3,1,4,0.5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
"#16 Sophie C.",0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"#18 Caylee S.",0,1,2,-0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1
"#12 Gabbi L.",1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"Toledo Women's Volleyball",10,2,21,0.381,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2
"#1 Grace F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#15 Maddy B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#7 Avery A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#3 Janelle G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#5 Sydney C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#21 Meg J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
